,asin,cat,rating,reviews,price,vp,fsa_flg,eff_max_str,eff_fast_acting,eff_long_lasting,eff_non_drowsy,eff_kid,count,brand_cat,inch,beni_count,weight_in_ounces,manu2,origin_country,sym_throat,sym_stomach,sym_sneezing,sym_sinus,sym_pain,sym_nose,sym_nausea,sym_nasal,sym_migranie,sym_menstrual,sym_itchy,sym_heart,sym_headache,sym_flu,sym_fever,sym_eyes,sym_digestion,sym_cough,sym_cold,sym_chest,sym_arthritis,sym_allergy,sym_acid,ingre_zinc,ingre_simethicone,ingre_pulsatilla,ingre_phosphorus,ingre_phenylephrine,ingre_perfoliatum,ingre_peppermint,ingre_omeprazole,ingre_naproxen,ingre_menthol,ingre_magnesium,ingre_loratadine,ingre_kali,ingre_ipecacuanha,ingre_ibuprofen,ingre_hydrobromide,ingre_guaifenesin,ingre_gelsemium,ingre_fexofenadine,ingre_famotidine,ingre_eupatorium,ingre_eucalyptus,ingre_esomeprazole,ingre_echinacea,ingre_doxylamine,ingre_diphenhydramine,ingre_dextromethorphan,ingre_chlorpheniramine,ingre_cetirizine,ingre_calcium,ingre_bryonia,ingre_antihistamine,ingre_aluminum,ingre_acetaminophen
26,B0B644HKKV,cold,4.7,3573,10.46,0.44933078393881454,1,1,1,0,0,0,24.0,coricidin hbp,18.55,0,2.08,bayer,Spain,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
27,B001OKOKEW,cold,4.8,5537,6.48,0.7407407407407407,1,0,0,0,0,1,,tylenol,19.909017,9,6.74,jj,USA,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
28,B01EMZBWU0,cold,4.8,145,7.67,0.6258148631029987,1,1,0,0,0,0,24.0,tylenol,9.836925,2,0.81,jj,Italy,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,B001ES8GGC,cold,4.7,16317,9.74,0.48254620123203285,0,0,0,0,0,0,,other,21.375,6,0.6,emc,,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,B00E5G5EB0,cold,4.8,5085,7.28,0.6593406593406593,1,1,0,0,0,0,6.0,theraflu,27.522716,0,2.88,gsk,USA,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,B07CVWZ36S,cold,4.7,1496,17.0,0.27647058823529413,1,0,0,0,0,0,50.0,advil,115.5,9,4.3,gsk,,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,B0B9HX5F9Z,cold,4.8,2407,21.18,0.22662889518413598,1,1,1,0,0,0,48.0,alka-seltzer plus,53.98557399999999,0,7.05,bayer,USA,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
33,B008MX2FYG,cold,4.7,1343,9.3,0.5053763440860215,1,1,0,0,1,0,24.0,contac,,0,1.45,emc,Canada,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,B09WYNFMQG,cold,4.7,111,14.27,0.3293622985283812,1,1,1,0,0,0,1.0,theraflu,,2,,gsk,USA,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,B073Q35JMS,cold,4.8,2403,7.28,0.6593406593406593,1,1,0,0,0,0,,other,,0,11.2,gsk,USA,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
37,B00EQA35XE,cold,4.8,10356,19.97,0.24036054081121683,1,1,0,0,1,0,,vicks,98.896875,0,24.0,others,USA,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
38,B0114LQN7C,cold,4.8,5596,7.79,0.6161745827984595,1,1,0,0,0,0,6.0,theraflu,27.522716,8,,gsk,USA,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,B013J7PTXS,cold,4.7,1727,7.29,0.644718792866941,1,1,0,0,0,0,,other,20.0,0,4.0,gsk,USA,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,B00DJOWM6O,cold,4.7,837,6.1,0.7704918032786886,0,0,0,0,0,0,24.0,goodsense,14.235,0,,perrigo,USA,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
42,B005GT3KP2,cold,4.8,583,9.96,0.48192771084337344,0,1,1,0,1,0,,vicks,4.5686,1,,pg,USA,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
43,B087QTL1QL,cold,4.7,4133,7.98,0.5889724310776943,1,1,1,0,1,0,20.0,alka-seltzer plus,16.499956,0,2.69,alka,,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
44,B087D39GBP,cold,4.5,787,5.98,0.7525083612040133,1,1,0,0,1,0,,amazon basic care,34.473348,4,11.68,ama,USA,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,B000ALB4H2,cold,4.8,3776,17.6,0.2727272727272727,0,0,0,0,0,0,,mucinex,16.68926,0,1.6,rb,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,B072PR9WQ5,cold,4.8,3847,10.98,0.4371584699453552,1,0,0,0,0,0,25.0,zicam,26.35588800000001,0,4.96,dwight,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,B000XTO9CI,cold,4.7,3321,13.76,0.34156976744186046,1,0,0,0,1,0,20.0,nature's way,19.665,0,1.76,nw,USA,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
48,B09L8J3H2M,cold,4.8,2125,13.48,0.35608308605341243,1,1,1,0,0,0,36.0,alka-seltzer plus,,5,,bayer,Mexico,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,B094X5PSM2,cold,4.7,2005,19.49,0.24114930733709597,1,1,1,0,0,0,40.0,mucinex,45.872238,0,2.4,rb,,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
51,B009NTEZM8,cold,4.8,1691,13.84,0.3468208092485549,1,0,0,0,1,0,,nature's way,22.554112,0,6.4,nw,USA,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
