,enrollment,indus,national_cancer_institute_(nci)_as_sponsor,location_count,us_lead,include_country_united states,number_of_measures,lead_aes,lead_mtd,lead_dlt,measure_mtd,measure_cmax,measure_os,measure_dor,measure_dlt,measure_aes,measure_tmax,condition_count,intervention_count,biological_included,drug_included,procedure_included,radiation_included,ccat,random,purp_prev,purp_treat,label_open,label_nopen,cross,y_class
96,70.0,1,False,10,1,True,42,1,0,0,False,True,False,False,True,True,True,1,2,False,True,False,False,0,0,0,1,1,0,0,0
97,17.0,0,False,1,1,True,2,0,1,0,True,False,False,False,False,False,False,2,4,False,False,False,False,0,0,0,1,1,0,0,1
98,45.0,1,False,5,1,True,1,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,0,1,0,0,0
99,21.0,0,False,1,1,True,2,1,0,0,False,False,False,False,False,True,False,1,1,False,True,False,False,0,0,1,0,1,0,0,1
100,9.0,0,False,1,0,False,4,0,0,0,False,False,False,False,False,False,False,1,1,True,False,False,False,0,0,0,1,1,0,0,1
101,472.0,1,False,12,1,True,6,1,0,0,False,False,False,False,False,True,False,1,9,True,True,False,False,1,1,0,1,1,0,0,1
102,6.0,0,False,1,0,False,4,0,0,0,False,False,False,False,False,False,False,1,1,True,False,False,False,0,0,0,1,1,0,0,0
103,52.0,0,False,1,0,False,2,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,False,1,0,0,1,1,0,0,1
104,33.0,1,False,1,0,False,3,0,1,0,True,False,False,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,0
105,7.0,1,False,4,1,True,2,0,1,0,True,False,False,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,0
106,36.0,1,False,2,0,False,3,0,0,0,False,False,False,False,False,False,False,1,2,False,True,True,False,0,0,0,1,1,0,0,0
107,41.0,1,False,4,1,True,12,0,0,1,False,True,False,False,True,True,False,1,3,False,True,False,False,0,0,0,1,1,0,0,0
108,65.64504283965728,0,False,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,3,True,False,True,False,0,0,0,1,0,0,0,0
